context_0,reply
Когда был оккупирован Петрозаводск?,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден.
Когда оккупировали Петрозаводск?,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден.
Кто оккупировал Петрозаводск?,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден.
Кто захватил Петрозаводск?,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден.
Когда захватили Петрозаводск?,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден.
Кто защищал Петрозаводск?,"В сентябре 1941 году Петрозаводск защищали несколько частей Красной Армии - 313, 272, 49 и 37 стрелковые дивизии, несколько истребительных батальонов, сводные отряды и один бронепоезд. Они задержали противника почти на месяц, что позволило эвакуировать население и предприятия, заминировать и разружить многие важные объекты."
Кто воевал в Петрозаводске в годы войны?,"В сентябре 1941 году Петрозаводск защищали несколько частей Красной Армии - 313, 272, 49 и 37 стрелковые дивизии, несколько истребительных батальонов, сводные отряды и один бронепоезд. Они задержали противника почти на месяц, что позволило эвакуировать население и предприятия, заминировать и разружить многие важные объекты."
Какие войска воевали в Петрозаводске?,"В сентябре 1941 году Петрозаводск защищали несколько частей Красной Армии - 313, 272, 49 и 37 стрелковые дивизии, несколько истребительных батальонов, сводные отряды и один бронепоезд. Они задержали противника почти на месяц, что позволило эвакуировать население и предприятия, заминировать и разружить многие важные объекты."
Кто воевал в Петрозаводске?,"В сентябре 1941 году Петрозаводск защищали несколько частей Красной Армии - 313, 272, 49 и 37 стрелковые дивизии, несколько истребительных батальонов, сводные отряды и один бронепоезд. Они задержали противника почти на месяц, что позволило эвакуировать население и предприятия, заминировать и разружить многие важные объекты."
Какие армии воевали в Петрозаводске?,"В сентябре 1941 году Петрозаводск защищали несколько частей Красной Армии - 313, 272, 49 и 37 стрелковые дивизии, несколько истребительных батальонов, сводные отряды и один бронепоезд. Они задержали противника почти на месяц, что позволило эвакуировать население и предприятия, заминировать и разружить многие важные объекты."
Что происходило в Карелии в годы войны?,"Каждый четвертый в Карелии побывал узником финских концлагерей в годы Великой Отечественной войны. В 1941-1944 годах финны построили 14 концлагерей в оккупированной ими Карело-Финской ССР. Весной 1942 года там содержались 24 тысячи узников, что составляло 30 процентов населения республики. "
события в Карелии в годы войны,"Каждый четвертый в Карелии побывал узником финских концлагерей в годы Великой Отечественной войны. В 1941-1944 годах финны построили 14 концлагерей в оккупированной ими Карело-Финской ССР. Весной 1942 года там содержались 24 тысячи узников, что составляло 30 процентов населения республики. "
концлагеря в Карелии,"Каждый четвертый в Карелии побывал узником финских концлагерей в годы Великой Отечественной войны. В 1941-1944 годах финны построили 14 концлагерей в оккупированной ими Карело-Финской ССР. Весной 1942 года там содержались 24 тысячи узников, что составляло 30 процентов населения республики. "
заключенные концлагерей в Карелии,"Каждый четвертый в Карелии побывал узником финских концлагерей в годы Великой Отечественной войны. В 1941-1944 годах финны построили 14 концлагерей в оккупированной ими Карело-Финской ССР. Весной 1942 года там содержались 24 тысячи узников, что составляло 30 процентов населения республики. "
национальный вопрос в Карелии,"Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
"Что означал финский термин ""неродственные народы(население"")?","Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
Кого финны нахывали неродственным народом?,"Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
Неродственные народы,"Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
Что ели в лагерях?,"""Здесь советских людей морили голодом, выгоняли на лесные работы зимой в рваных резиновых галошах на босую ногу. Здесь население лагерей питалось мышами, лягушками, дохлами собаками"".

Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
Чем питались в лагерях?,"""Здесь советских людей морили голодом, выгоняли на лесные работы зимой в рваных резиновых галошах на босую ногу. Здесь население лагерей питалось мышами, лягушками, дохлами собаками"".

Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
Что ели заключенные?,"""Здесь советских людей морили голодом, выгоняли на лесные работы зимой в рваных резиновых галошах на босую ногу. Здесь население лагерей питалось мышами, лягушками, дохлами собаками"".

Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
ели заключенные концлагерей,"""Здесь советских людей морили голодом, выгоняли на лесные работы зимой в рваных резиновых галошах на босую ногу. Здесь население лагерей питалось мышами, лягушками, дохлами собаками"""".

Из книги В.Г. Базанова """"За колючей проволокой: из дневника собирателя"""
питание заключенных,"""Здесь советских людей морили голодом, выгоняли на лесные работы зимой в рваных резиновых галошах на босую ногу. Здесь население лагерей питалось мышами, лягушками, дохлами собаками"""".

Из книги В.Г. Базанова """"За колючей проволокой: из дневника собирателя"""
питание в финских лагерях,"""Здесь советских людей морили голодом, выгоняли на лесные работы зимой в рваных резиновых галошах на босую ногу. Здесь население лагерей питалось мышами, лягушками, дохлами собаками"""".

Из книги В.Г. Базанова """"За колючей проволокой: из дневника собирателя"""
питание в финских лагерях в концлагерях в Петрозаводске,"""Здесь советских людей морили голодом, выгоняли на лесные работы зимой в рваных резиновых галошах на босую ногу. Здесь население лагерей питалось мышами, лягушками, дохлами собаками"""".

Из книги В.Г. Базанова """"За колючей проволокой: из дневника собирателя"""
питание в клнцлагерях в Карелии,"""Здесь советских людей морили голодом, выгоняли на лесные работы зимой в рваных резиновых галошах на босую ногу. Здесь население лагерей питалось мышами, лягушками, дохлами собаками"""".

Из книги В.Г. Базанова """"За колючей проволокой: из дневника собирателя"""
били заключенных,"Заключенные лагерей в Петрозаводске вспоминали, что их избивали. ""Старушка, прожившая три года в лагере, передала нам резиновую дубинку, которой фашистские садисты били пленных за малейшую провинность. Полицейский, бежавший из Петрозаводска, позабыл спрятать ее на дно чемодана"". 

Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
избивали заключенных,"""Заключенные лагерей в Петрозаводске вспоминали, что их избивали. ""Старушка, прожившая три года в лагере, передала нам резиновую дубинку, которой фашистские садисты били пленных за малейшую провинность. Полицейский, бежавший из Петрозаводска, позабыл спрятать ее на дно чемодана"". 

Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
отншение к заключенным,"""Заключенные лагерей в Петрозаводске вспоминали, что их избивали. ""Старушка, прожившая три года в лагере, передала нам резиновую дубинку, которой фашистские садисты били пленных за малейшую провинность. Полицейский, бежавший из Петрозаводска, позабыл спрятать ее на дно чемодана"". 

Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
Как относились к заключенным?,"""Почти три года мы были оцеплены двойной колючей проволокой, окружены тюремными вышками и охранялись вооруженным конвоем. Нас морили голодом, избивали нагайками за малетшую провинность. Особенно зверствовали в лагере №2 комендант лейтенант Салаваара, а также комендант лагеря Вилки Лакконен""

Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
отношение к узникам лагерей,"""Почти три года мы были оцеплены двойной колючей проволокой, окружены тюремными вышками и охранялись вооруженным конвоем. Нас морили голодом, избивали нагайками за малетшую провинность. Особенно зверствовали в лагере №2 комендант лейтенант Салаваара, а также комендант лагеря Вилки Лакконен""""

Из книги В.Г. Базанова """"За колючей проволокой: из дневника собирателя"""
территория лагерей,"""Почти три года мы были оцеплены двойной колючей проволокой, окружены тюремными вышками и охранялись вооруженным конвоем. Нас морили голодом, избивали нагайками за малетшую провинность. Особенно зверствовали в лагере №2 комендант лейтенант Салаваара, а также комендант лагеря Вилки Лакконен""

Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
"Что означал финский термин ""неродственные народы(население"")?","Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
Как долго длилась оккупация Карелии?,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден в ходе Петрозаводско-Свирской операции.
Как долго длилась оккупация Петрозаводска?,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден в ходе Петрозаводско-Свирской операции.
оккупация Петрозаводска,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден в ходе Петрозаводско-Свирской операции.
оккупация столицы Карелии,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден в ходе Петрозаводско-Свирской операции.
оккупационный режим,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден в ходе Петрозаводско-Свирской операции.
Что такое Яанислинна?,"Во время оккупации финны переименовали Петрозаводск. Он назывался Яанислинна (Äänislinna ). С финского переводится как ""крепость на Онего""."
Яанислинна,"Во время оккупации финны переименовали Петрозаводск. Он назывался Яанислинна (Äänislinna ). С финского переводится как ""крепость на Онего""."
Что такое Äänislinna?,"Во время оккупации финны переименовали Петрозаводск. Он назывался Яанислинна (Äänislinna ). С финского переводится как ""крепость на Онего""."
Что такое Aanislinna?,"Во время оккупации финны переименовали Петрозаводск. Он назывался Яанислинна (Äänislinna ). С финского переводится как ""крепость на Онего""."
Как назывался Петрозаводск в годы оккупации?,"Во время оккупации финны переименовали Петрозаводск. Он назывался Яанислинна (Äänislinna ). С финского переводится как ""крепость на Онего""."
Как финны назвали Петрозаводск?,"Во время оккупации финны переименовали Петрозаводск. Он назывался Яанислинна (Äänislinna ). С финского переводится как ""крепость на Онего""."
Как финны называли столицу Карелии?,"Во время оккупации финны переименовали Петрозаводск. Он назывался Яанислинна (Äänislinna ). С финского переводится как ""крепость на Онего""."
Где работали узники лагерей?,"При скудном питании людей заставляли работать. Все лагерники были разбиты на бригады, которые выводили под конвоем. Регламентированного подъема не было, но все должны были быть к семи часам утра у ворот. Работа начиналась в восемь часов утра, обеденный перерыв длился 20-30 минут. Заканчивалась смена в 16 часов. После чего бригады конвоировали обратно в лагерь. После 18 часов всякое движение по территории прекращалось.

Заключенные работали на Онежском заводе, хлебозаводе, восстанавливали электростанцию, обслуживали военную полицию и военнослужащих. Часть лагерников разбирала старые деревянные дома в Петрозаводске на дрова. При этом хорошие дома вывозились в Финляндию."
работа в лагерях,"При скудном питании людей заставляли работать. Все лагерники были разбиты на бригады, которые выводили под конвоем. Регламентированного подъема не было, но все должны были быть к семи часам утра у ворот. Работа начиналась в восемь часов утра, обеденный перерыв длился 20-30 минут. Заканчивалась смена в 16 часов. После чего бригады конвоировали обратно в лагерь. После 18 часов всякое движение по территории прекращалось.

Заключенные работали на Онежском заводе, хлебозаводе, восстанавливали электростанцию, обслуживали военную полицию и военнослужащих. Часть лагерников разбирала старые деревянные дома в Петрозаводске на дрова. При этом хорошие дома вывозились в Финляндию."
кто работал в лагерях,"При скудном питании людей заставляли работать. Все лагерники были разбиты на бригады, которые выводили под конвоем. Регламентированного подъема не было, но все должны были быть к семи часам утра у ворот. Работа начиналась в восемь часов утра, обеденный перерыв длился 20-30 минут. Заканчивалась смена в 16 часов. После чего бригады конвоировали обратно в лагерь. После 18 часов всякое движение по территории прекращалось.

Заключенные работали на Онежском заводе, хлебозаводе, восстанавливали электростанцию, обслуживали военную полицию и военнослужащих. Часть лагерников разбирала старые деревянные дома в Петрозаводске на дрова. При этом хорошие дома вывозились в Финляндию."
работа заключенных,"При скудном питании людей заставляли работать. Все лагерники были разбиты на бригады, которые выводили под конвоем. Регламентированного подъема не было, но все должны были быть к семи часам утра у ворот. Работа начиналась в восемь часов утра, обеденный перерыв длился 20-30 минут. Заканчивалась смена в 16 часов. После чего бригады конвоировали обратно в лагерь. После 18 часов всякое движение по территории прекращалось.

Заключенные работали на Онежском заводе, хлебозаводе, восстанавливали электростанцию, обслуживали военную полицию и военнослужащих. Часть лагерников разбирала старые деревянные дома в Петрозаводске на дрова. При этом хорошие дома вывозились в Финляндию."
работы в финских лагерях,"При скудном питании людей заставляли работать. Все лагерники были разбиты на бригады, которые выводили под конвоем. Регламентированного подъема не было, но все должны были быть к семи часам утра у ворот. Работа начиналась в восемь часов утра, обеденный перерыв длился 20-30 минут. Заканчивалась смена в 16 часов. После чего бригады конвоировали обратно в лагерь. После 18 часов всякое движение по территории прекращалось.

Заключенные работали на Онежском заводе, хлебозаводе, восстанавливали электростанцию, обслуживали военную полицию и военнослужащих. Часть лагерников разбирала старые деревянные дома в Петрозаводске на дрова. При этом хорошие дома вывозились в Финляндию."
Чем питались жители оккупированного Петрозаводска?,"""Здесь советских людей морили голодом, выгоняли на лесные работы зимой в рваных резиновых галошах на босую ногу. Здесь население лагерей питалось мышами, лягушками, дохлами собаками"". 

Из книги В.Г. Базанова """"За колючей проволокой: из дневника собирателя"""
Где брали еду дети из оккупированного Петрозаводска?,"""Здесь советских людей морили голодом, выгоняли на лесные работы зимой в рваных резиновых галошах на босую ногу. Здесь население лагерей питалось мышами, лягушками, дохлами собаками"". 

Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
Кто был заключен в концентрационные лагеря в Петрозаводске?,"Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
Кто мог стать узником концлагерей в Карелии?,"Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
Кто попадал в концлагерь в Петрозаводске в период оккупации?,"Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
Какое количество узников находилось в концлагерях?,"Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
Сколько человек оказались в концентрационных лагерях в период оккупации Карелии?,"Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
Какой была смертность в лагерях в Петрозаводске?,"По оценкам историков, за годы существования финских лагерей через них прошли порядка 50 тысяч человек, около трети заключенных погибли от голода. В большинстве случаев людей уничтожали без использования оружия — просто морили голодом и не оказывали медпомощь.

Заболеваемость и смертность военнопленных зависели от условий их содержания и сезонно-климатических условий Карелии. Преобладали такие заболевания как пневмония, туберкулез, дизентерия, острые кишечные заболевания, дистрофия, менингит, ревматизм, авитаминоз и пр. Причиной смертности чаще всего были пневмония и туберкулез."
смертность в лагерях,"По оценкам историков, за годы существования финских лагерей через них прошли порядка 50 тысяч человек, около трети заключенных погибли от голода. В большинстве случаев людей уничтожали без использования оружия — просто морили голодом и не оказывали медпомощь.

Заболеваемость и смертность военнопленных зависели от условий их содержания и сезонно-климатических условий Карелии. Преобладали такие заболевания как пневмония, туберкулез, дизентерия, острые кишечные заболевания, дистрофия, менингит, ревматизм, авитаминоз и пр. Причиной смертности чаще всего были пневмония и туберкулез."
от чего умирали в лагерях,"По оценкам историков, за годы существования финских лагерей через них прошли порядка 50 тысяч человек, около трети заключенных погибли от голода. В большинстве случаев людей уничтожали без использования оружия — просто морили голодом и не оказывали медпомощь.

Заболеваемость и смертность военнопленных зависели от условий их содержания и сезонно-климатических условий Карелии. Преобладали такие заболевания как пневмония, туберкулез, дизентерия, острые кишечные заболевания, дистрофия, менингит, ревматизм, авитаминоз и пр. Причиной смертности чаще всего были пневмония и туберкулез."
смертность заключенных,"По оценкам историков, за годы существования финских лагерей через них прошли порядка 50 тысяч человек, около трети заключенных погибли от голода. В большинстве случаев людей уничтожали без использования оружия — просто морили голодом и не оказывали медпомощь.

Заболеваемость и смертность военнопленных зависели от условий их содержания и сезонно-климатических условий Карелии. Преобладали такие заболевания как пневмония, туберкулез, дизентерия, острые кишечные заболевания, дистрофия, менингит, ревматизм, авитаминоз и пр. Причиной смертности чаще всего были пневмония и туберкулез."
от чего умирали заключенные,"По оценкам историков, за годы существования финских лагерей через них прошли порядка 50 тысяч человек, около трети заключенных погибли от голода. В большинстве случаев людей уничтожали без использования оружия — просто морили голодом и не оказывали медпомощь.

Заболеваемость и смертность военнопленных зависели от условий их содержания и сезонно-климатических условий Карелии. Преобладали такие заболевания как пневмония, туберкулез, дизентерия, острые кишечные заболевания, дистрофия, менингит, ревматизм, авитаминоз и пр. Причиной смертности чаще всего были пневмония и туберкулез."
